county,precinct,office,district,candidate,party,votes,early_voting,mail,election_day,provisional,other
Volusia,0101 101,President,,Donald J. Trump,REP,592,130,186,276,0,0
Volusia,0101 101,President,,Joseph R. Biden,DEM,199,32,115,51,1,0
Volusia,0101 101,President,,Jo Jorgensen,LPF,6,2,3,1,0,0
Volusia,0101 101,President,,"Roque ""Rocky"" De La Fuente",REF,0,0,0,0,0,0
Volusia,0101 101,President,,Gloria La Riva,PSL,1,0,1,0,0,0
Volusia,0101 101,President,,Howie Hawkins,GRE,0,0,0,0,0,0
Volusia,0101 101,President,,Don Blankenship,CPF,0,0,0,0,0,0
Volusia,0101 101,President,,WRITE-IN,,2,0,0,2,0,0
Volusia,0101 101,President,,Over Votes,,0,0,0,0,0,0
Volusia,0101 101,President,,Under Votes,,0,0,0,0,0,0
Volusia,0101 101,U.S. House,6,Michael Waltz,REP,585,132,186,267,0,0
Volusia,0101 101,U.S. House,6,Clint Curtis,DEM,194,29,112,52,1,0
Volusia,0101 101,U.S. House,6,WRITE-IN,,0,0,0,0,0,0
Volusia,0101 101,U.S. House,6,Over Votes,,0,0,0,0,0,0
Volusia,0101 101,U.S. House,6,Under Votes,,21,3,7,11,0,0
Volusia,0101 101,State Attorney 7th Judicial Circuit,,R.J. Larizza,REP,546,130,177,239,0,0
Volusia,0101 101,State Attorney 7th Judicial Circuit,,Don Dempsey,,216,30,104,81,1,0
Volusia,0101 101,State Attorney 7th Judicial Circuit,,Over Votes,,0,0,0,0,0,0
Volusia,0101 101,State Attorney 7th Judicial Circuit,,Under Votes,,38,4,24,10,0,0
Volusia,0101 101,State Senate,7,Travis J. Hutson,REP,573,132,178,263,0,0
Volusia,0101 101,State Senate,7,Heather Hunter,DEM,202,30,118,53,1,0
Volusia,0101 101,State Senate,7,WRITE-IN,,1,0,0,1,0,0
Volusia,0101 101,State Senate,7,Over Votes,,0,0,0,0,0,0
Volusia,0101 101,State Senate,7,Under Votes,,24,2,9,13,0,0
Volusia,0101 101,State House,24,Paul Renner,REP,576,130,186,260,0,0
Volusia,0101 101,State House,24,Adam Morley,DEM,196,31,110,54,1,0
Volusia,0101 101,State House,24,Over Votes,,0,0,0,0,0,0
Volusia,0101 101,State House,24,Under Votes,,28,3,9,16,0,0
Volusia,0101 101,Supreme Court - Carlos G. Muniz,,Yes,,483,111,162,209,1,0
Volusia,0101 101,Supreme Court - Carlos G. Muniz,,No,,179,25,78,76,0,0
Volusia,0101 101,Supreme Court - Carlos G. Muniz,,Over Votes,,1,0,0,1,0,0
Volusia,0101 101,Supreme Court - Carlos G. Muniz,,Under Votes,,137,28,65,44,0,0
Volusia,0101 101,5th Dist Crt of Appeal - Evander,,Yes,,479,101,170,207,1,0
Volusia,0101 101,5th Dist Crt of Appeal - Evander,,No,,182,35,69,78,0,0
Volusia,0101 101,5th Dist Crt of Appeal - Evander,,Over Votes,,1,1,0,0,0,0
Volusia,0101 101,5th Dist Crt of Appeal - Evander,,Under Votes,,138,27,66,45,0,0
Volusia,0101 101,5th Dist Crt of Appeal - Grosshans,,Yes,,488,110,169,208,1,0
Volusia,0101 101,5th Dist Crt of Appeal - Grosshans,,No,,167,26,67,74,0,0
Volusia,0101 101,5th Dist Crt of Appeal - Grosshans,,Over Votes,,0,0,0,0,0,0
Volusia,0101 101,5th Dist Crt of Appeal - Grosshans,,Under Votes,,145,28,69,48,0,0
Volusia,0101 101,5th Dist Crt of Appeal - Harris,,Yes,,496,105,177,213,1,0
Volusia,0101 101,5th Dist Crt of Appeal - Harris,,No,,156,30,56,70,0,0
Volusia,0101 101,5th Dist Crt of Appeal - Harris,,Over Votes,,0,0,0,0,0,0
Volusia,0101 101,5th Dist Crt of Appeal - Harris,,Under Votes,,148,29,72,47,0,0
Volusia,0101 101,5th Dist Crt of Appeal - Orfinger,,Yes,,472,101,175,195,1,0
Volusia,0101 101,5th Dist Crt of Appeal - Orfinger,,No,,184,34,64,86,0,0
Volusia,0101 101,5th Dist Crt of Appeal - Orfinger,,Over Votes,,0,0,0,0,0,0
Volusia,0101 101,5th Dist Crt of Appeal - Orfinger,,Under Votes,,144,29,66,49,0,0
Volusia,0101 101,5th Dist Crt of Appeal - Sasso,,Yes,,487,110,173,203,1,0
Volusia,0101 101,5th Dist Crt of Appeal - Sasso,,No,,157,22,60,75,0,0
Volusia,0101 101,5th Dist Crt of Appeal - Sasso,,Over Votes,,0,0,0,0,0,0
Volusia,0101 101,5th Dist Crt of Appeal - Sasso,,Under Votes,,156,32,72,52,0,0
Volusia,0101 101,5th Dist Crt of Appeal - Wallis,,Yes,,485,108,173,203,1,0
Volusia,0101 101,5th Dist Crt of Appeal - Wallis,,No,,164,24,64,76,0,0
Volusia,0101 101,5th Dist Crt of Appeal - Wallis,,Over Votes,,0,0,0,0,0,0
Volusia,0101 101,5th Dist Crt of Appeal - Wallis,,Under Votes,,151,32,68,51,0,0
Volusia,0101 101,Circuit Judge,,Joan Anthony,,311,67,134,109,1,0
Volusia,0101 101,Circuit Judge,,Dan Hilbert,,351,71,110,170,0,0
Volusia,0101 101,Circuit Judge,,Over Votes,,2,1,1,0,0,0
Volusia,0101 101,Circuit Judge,,Under Votes,,136,25,60,51,0,0
Volusia,0101 101,County Council Chair,,Jeff Brower,,495,109,170,216,0,0
Volusia,0101 101,County Council Chair,,"Deborah A. ""Deb"" Denys",,215,39,90,85,1,0
Volusia,0101 101,County Council Chair,,Over Votes,,1,1,0,0,0,0
Volusia,0101 101,County Council Chair,,Under Votes,,89,15,45,29,0,0
Volusia,0101 101,Soil & Water Conservation Seat 2,,John Nelson,,476,111,156,209,0,0
Volusia,0101 101,Soil & Water Conservation Seat 2,,Wesley Wayne Wilson Jr,,181,32,79,69,1,0
Volusia,0101 101,Soil & Water Conservation Seat 2,,Over Votes,,0,0,0,0,0,0
Volusia,0101 101,Soil & Water Conservation Seat 2,,Under Votes,,143,21,70,52,0,0
