county,precinct,office,district,candidate,party,votes,absentee,early_voting,election_day
Sumter,0101 101 SAVANNAH CTR,Registered Voters,,,,2588,,,
Sumter,0101 101 SAVANNAH CTR,Ballots Cast,,,,2210,1070,929,211
Sumter,0101 101 SAVANNAH CTR,Ballots Cast Blank,,,,0,0,0,0
Sumter,0101 101 SAVANNAH CTR,President,,Donald J. Trump,REP,1490,567,737,186
Sumter,0101 101 SAVANNAH CTR,President,,Joseph R. Biden,DEM,700,,,
Sumter,0101 101 SAVANNAH CTR,President,,Jo Jorgensen,LPF,8,,,
Sumter,0101 101 SAVANNAH CTR,President,,"Roque ""Rocky"" De La Fuente",REF,1,,,
Sumter,0101 101 SAVANNAH CTR,President,,Gloria La Riva,PSL,3,,,
Sumter,0101 101 SAVANNAH CTR,President,,Howie Hawkins,GRE,2,,,
Sumter,0101 101 SAVANNAH CTR,President,,Don Blankenship,CPF,0,0,0,0
Sumter,0101 101 SAVANNAH CTR,President,,WRITE-IN,,3,,,
Sumter,0101 101 SAVANNAH CTR,President,,Over Votes,,0,0,0,0
Sumter,0101 101 SAVANNAH CTR,President,,Under Votes,,3,,,
Sumter,0101 101 SAVANNAH CTR,U.S. House,11,Daniel Webster,REP,1495,593,725,177
Sumter,0101 101 SAVANNAH CTR,U.S. House,11,Dana Marie Cottrell,DEM,652,,,
Sumter,0101 101 SAVANNAH CTR,U.S. House,11,Over Votes,,0,0,0,0
Sumter,0101 101 SAVANNAH CTR,U.S. House,11,Under Votes,,63,,,
Sumter,0101 101 SAVANNAH CTR,State House,33,Brett T. Hage,REP,1465,586,707,172
Sumter,0101 101 SAVANNAH CTR,State House,33,"Mamie ""Dee"" Melvin",DEM,632,,,
Sumter,0101 101 SAVANNAH CTR,State House,33,Over Votes,,0,0,0,0
Sumter,0101 101 SAVANNAH CTR,State House,33,Under Votes,,113,,,
Sumter,0101 101 SAVANNAH CTR,Board of County Commissioners District 1,,Gary Search,REP,1575,671,734,170
Sumter,0101 101 SAVANNAH CTR,Board of County Commissioners District 1,,Larry J. Green,,459,,,
Sumter,0101 101 SAVANNAH CTR,Board of County Commissioners District 1,,Over Votes,,0,0,0,0
Sumter,0101 101 SAVANNAH CTR,Board of County Commissioners District 1,,Under Votes,,176,,,
Sumter,0101 101 SAVANNAH CTR,Justice of the Supreme Court Carlos G. Muniz,,Yes,,1416,682,611,123
Sumter,0101 101 SAVANNAH CTR,Justice of the Supreme Court Carlos G. Muniz,,No,,413,226,156,31
Sumter,0101 101 SAVANNAH CTR,Justice of the Supreme Court Carlos G. Muniz,,Over Votes,,0,0,0,0
Sumter,0101 101 SAVANNAH CTR,Justice of the Supreme Court Carlos G. Muniz,,Under Votes,,381,162,162,57
Sumter,0101 101 SAVANNAH CTR,Fifth District Court of Appeal Kerry I. Evander,,Yes,,1443,705,609,129
Sumter,0101 101 SAVANNAH CTR,Fifth District Court of Appeal Kerry I. Evander,,No,,357,,,
Sumter,0101 101 SAVANNAH CTR,Fifth District Court of Appeal Kerry I. Evander,,Over Votes,,0,0,0,0
Sumter,0101 101 SAVANNAH CTR,Fifth District Court of Appeal Kerry I. Evander,,Under Votes,,410,183,171,56
Sumter,0101 101 SAVANNAH CTR,Fifth District Court of Appeal Jamie Grosshans,,Yes,,1378,663,591,124
Sumter,0101 101 SAVANNAH CTR,Fifth District Court of Appeal Jamie Grosshans,,No,,381,,,
Sumter,0101 101 SAVANNAH CTR,Fifth District Court of Appeal Jamie Grosshans,,Over Votes,,1,,,
Sumter,0101 101 SAVANNAH CTR,Fifth District Court of Appeal Jamie Grosshans,,Under Votes,,450,202,188,60
Sumter,0101 101 SAVANNAH CTR,Fifth District Court of Appeal John M. Harris,,Yes,,1438,699,612,127
Sumter,0101 101 SAVANNAH CTR,Fifth District Court of Appeal John M. Harris,,No,,356,,,
Sumter,0101 101 SAVANNAH CTR,Fifth District Court of Appeal John M. Harris,,Over Votes,,1,,,
Sumter,0101 101 SAVANNAH CTR,Fifth District Court of Appeal John M. Harris,,Under Votes,,415,176,182,57
Sumter,0101 101 SAVANNAH CTR,Fifth District Court of Appeal Richard B. Orfinger,,Yes,,1409,699,587,123
Sumter,0101 101 SAVANNAH CTR,Fifth District Court of Appeal Richard B. Orfinger,,No,,373,,,
Sumter,0101 101 SAVANNAH CTR,Fifth District Court of Appeal Richard B. Orfinger,,Over Votes,,1,,,
Sumter,0101 101 SAVANNAH CTR,Fifth District Court of Appeal Richard B. Orfinger,,Under Votes,,427,185,183,59
Sumter,0101 101 SAVANNAH CTR,Fifth District Court of Appeal Meredith Sasso,,Yes,,1426,701,601,124
Sumter,0101 101 SAVANNAH CTR,Fifth District Court of Appeal Meredith Sasso,,No,,353,,,
Sumter,0101 101 SAVANNAH CTR,Fifth District Court of Appeal Meredith Sasso,,Over Votes,,0,0,0,0
Sumter,0101 101 SAVANNAH CTR,Fifth District Court of Appeal Meredith Sasso,,Under Votes,,431,182,188,61
Sumter,0101 101 SAVANNAH CTR,Fifth District Court of Appeal F. Rand Wallis,,Yes,,1422,694,605,123
Sumter,0101 101 SAVANNAH CTR,Fifth District Court of Appeal F. Rand Wallis,,No,,356,,,
Sumter,0101 101 SAVANNAH CTR,Fifth District Court of Appeal F. Rand Wallis,,Over Votes,,0,0,0,0
Sumter,0101 101 SAVANNAH CTR,Fifth District Court of Appeal F. Rand Wallis,,Under Votes,,432,181,191,60
Sumter,0101 101 SAVANNAH CTR,No. 1 Constitutional Amendment,,Yes,,1841,865,796,180
Sumter,0101 101 SAVANNAH CTR,No. 1 Constitutional Amendment,,No,,230,,,
Sumter,0101 101 SAVANNAH CTR,No. 1 Constitutional Amendment,,Over Votes,,0,0,0,0
Sumter,0101 101 SAVANNAH CTR,No. 1 Constitutional Amendment,,Under Votes,,139,,,
Sumter,0101 101 SAVANNAH CTR,No. 2 Constitutional Amendment,,Yes,,1288,721,462,105
Sumter,0101 101 SAVANNAH CTR,No. 2 Constitutional Amendment,,No,,791,290,413,88
Sumter,0101 101 SAVANNAH CTR,No. 2 Constitutional Amendment,,Over Votes,,0,0,0,0
Sumter,0101 101 SAVANNAH CTR,No. 2 Constitutional Amendment,,Under Votes,,131,,,
Sumter,0101 101 SAVANNAH CTR,No. 3 Constitutional Amendment,,Yes,,1118,582,422,114
Sumter,0101 101 SAVANNAH CTR,No. 3 Constitutional Amendment,,No,,851,377,404,70
Sumter,0101 101 SAVANNAH CTR,No. 3 Constitutional Amendment,,Over Votes,,0,0,0,0
Sumter,0101 101 SAVANNAH CTR,No. 3 Constitutional Amendment,,Under Votes,,241,,,
Sumter,0101 101 SAVANNAH CTR,No. 4 Constitutional Amendment,,Yes,,998,449,452,97
Sumter,0101 101 SAVANNAH CTR,No. 4 Constitutional Amendment,,No,,959,513,364,82
Sumter,0101 101 SAVANNAH CTR,No. 4 Constitutional Amendment,,Over Votes,,0,0,0,0
Sumter,0101 101 SAVANNAH CTR,No. 4 Constitutional Amendment,,Under Votes,,253,108,113,32
Sumter,0101 101 SAVANNAH CTR,No. 5 Constitutional Amendment,,Yes,,1472,724,606,142
Sumter,0101 101 SAVANNAH CTR,No. 5 Constitutional Amendment,,No,,486,238,210,38
Sumter,0101 101 SAVANNAH CTR,No. 5 Constitutional Amendment,,Over Votes,,2,,,
