county,precinct,office,district,candidate,party,votes,mail,early_voting,election_day,provisional
Citrus,100,Registered Voters,,,,3075,,,,
Citrus,100,Ballots Cast,,,,2474,878,765,828,3
Citrus,100,Ballots Cast Blank,,,,78,23,23,32,0
Citrus,100,President,,Donald J. Trump,REP,1904,519,650,732,3
Citrus,100,President,,Joseph R. Biden,DEM,541,343,110,88,0
Citrus,100,President,,Jo Jorgensen,LPF,11,7,2,2,0
Citrus,100,President,,"Roque ""Rocky"" De La Fuente",REF,1,0,0,1,0
Citrus,100,President,,Gloria La Riva,PSL,0,0,0,0,0
Citrus,100,President,,Howie Hawkins,GRE,2,1,0,1,0
Citrus,100,President,,Don Blankenship,CPF,2,2,0,0,0
Citrus,100,President,,WRITE-IN,,9,4,2,3,0
Citrus,100,U.S. House,11,Daniel Webster,REP,1855,514,633,705,3
Citrus,100,U.S. House,11,Dana Marie Cottrell,DEM,555,338,120,97,0
Citrus,100,State House,34,Ralph E. Massullo Jr,REP,1910,558,643,706,3
Citrus,100,State House,34,Dushyant Jethagir Gosai,DEM,464,283,98,83,0
Citrus,100,Sheriff,,Michael Prendergast,REP,1891,579,611,698,3
Citrus,100,Sheriff,,Lee Alexander,NPA,508,266,132,110,0
Citrus,100,Property Appraiser,,Cregg Dalton,REP,1762,509,591,659,3
Citrus,100,Property Appraiser,,Rick Schroeder,NPA,583,301,150,132,0
Citrus,100,Justice of the Supreme Court - Muniz,,Yes,,1568,535,489,543,1
Citrus,100,Justice of the Supreme Court - Muniz,,No,,601,240,180,180,1
Citrus,100,Fifth District Court of Appeal - Evander,,Yes,,1599,559,501,538,1
Citrus,100,Fifth District Court of Appeal - Evander,,No,,554,206,163,184,1
Citrus,100,Fifth District Court of Appeal - Harris,,Yes,,1601,557,498,545,1
Citrus,100,Fifth District Court of Appeal - Harris,,No,,540,209,156,174,1
Citrus,100,Fifth District Court of Appeal - Orfinger,,Yes,,1554,546,489,519,0
Citrus,100,Fifth District Court of Appeal - Orfinger,,No,,585,218,167,199,1
Citrus,100,Fifth District Court of Appeal - Sasso,,Yes,,1580,559,492,528,1
Citrus,100,Fifth District Court of Appeal - Sasso,,No,,555,208,161,185,1
Citrus,100,Fifth District Court of Appeal - Wallis,,Yes,,1575,547,485,542,1
Citrus,100,Fifth District Court of Appeal - Wallis,,No,,563,217,169,176,1
Citrus,100,School Board - District 2,,"Virginia ""Ginger"" Bryant",,1412,494,413,503,2
Citrus,100,School Board - District 2,,Danielle Damato Doty,,843,308,277,257,1
Citrus,100,Mosquito Control Board Seat 2,,Stephanie Adams,,906,342,261,303,0
Citrus,100,Mosquito Control Board Seat 2,,Theressa Foster West,,614,189,201,222,2
Citrus,100,Mosquito Control Board Seat 2,,Timothy R. Langer,,593,214,184,195,0
Citrus,100,No. 1 Citizenship Requirement to Vote,,Yes,,2115,728,660,724,3
Citrus,100,No. 1 Citizenship Requirement to Vote,,No,,273,124,77,72,0
Citrus,100,No. 2 Raising FL Minimum Wage,,Yes,,1002,457,264,281,0
Citrus,100,No. 2 Raising FL Minimum Wage,,No,,1332,357,474,498,3
Citrus,100,No. 3 All Voters Vote in Primary,,Yes,,1286,507,387,390,2
Citrus,100,No. 3 All Voters Vote in Primary,,No,,1009,303,330,375,1
Citrus,100,No. 4 Voter Approval of Amendments,,Yes,,1123,344,374,404,1
Citrus,100,No. 4 Voter Approval of Amendments,,No,,1158,464,339,353,2
Citrus,100,No. 5 Limit Prop Tax Assessment,,Yes,,1666,599,512,554,1
Citrus,100,No. 5 Limit Prop Tax Assessment,,No,,614,214,189,210,1
Citrus,100,No. 6 Ad Valorem Tax,,Yes,,2132,766,642,722,2
Citrus,100,No. 6 Ad Valorem Tax,,No,,239,74,96,68,1
Citrus,101,Registered Voters,,,,3440,,,,
Citrus,101,Ballots Cast,,,,2635,957,832,844,2
Citrus,101,Ballots Cast Blank,,,,105,27,29,49,0
Citrus,101,President,,Donald J. Trump,REP,1989,553,696,740,0
Citrus,101,President,,Joseph R. Biden,DEM,609,388,130,89,2
Citrus,101,President,,Jo Jorgensen,LPF,20,4,6,10,0
Citrus,101,President,,"Roque ""Rocky"" De La Fuente",REF,0,0,0,0,0
Citrus,101,President,,Gloria La Riva,PSL,1,0,0,1,0
Citrus,101,President,,Howie Hawkins,GRE,5,3,0,2,0
Citrus,101,President,,Don Blankenship,CPF,1,0,0,1,0
Citrus,101,President,,WRITE-IN,,2,2,0,0,0
Citrus,101,U.S. House,11,Daniel Webster,REP,1926,560,674,691,1
Citrus,101,U.S. House,11,Dana Marie Cottrell,DEM,621,369,141,110,1
Citrus,101,State House,34,Ralph E. Massullo Jr,REP,1989,590,682,717,0
Citrus,101,State House,34,Dushyant Jethagir Gosai,DEM,521,323,120,76,2
Citrus,101,Sheriff,,Michael Prendergast,REP,1963,621,666,675,1
Citrus,101,Sheriff,,Lee Alexander,NPA,581,298,142,140,1
Citrus,101,Property Appraiser,,Cregg Dalton,REP,1794,538,639,617,0
